"//English translation","//German infinitive","//First Person Singular, Präsens","//Second Person Singular, Präsens","//Third Person Singular, Präsens","//First Person Plurl, Präsens","//Second Person Plurl, Präsens","//Third Person Plurl, Präsens","//First Person Singular, Präteritum","//Second Person Singular, Präteritum","//Third Person Singular, Präteritum","//First Person Plurl, Präteritum","//Second Person Plurl, Präteritum","//Third Person Plurl, Präteritum","//Futur 1"
"to work","arbeiten","arbeite","arbeitest","arbeitet","arbeiten","arbeitet","arbeiten","arbeitete","arbeitetest","arbeitete","arbeiteten","arbeitetet","arbeiteten","arbeiten"
"to begin","beginnen","beginne","beginnst","beginnt","beginnen","beginnt","beginnen","begann","begannst","begann","begannen","begannt","begannen","beginnen"
"to confess","bekennen","bekenne","bekennst","bekennt","bekennen","bekennt","bekennen","bekannte","bekanntest","bekannte","bekannten","bekanntet","bekannten","bekennen"
"to receive","bekommen","bekomme","bekommst","bekommt","bekommen","bekommt","bekommen","bekam","bekamst","bekam","bekamen","bekamt","bekamen","bekommen"
"to visit","besuchen","besuche","besuchst","besucht","besuchen","besucht","besuchen","besuchte","besuchtest","besuchte","besuchten","besuchtet","besuchten","besuchen"
"to pay","bezahlen","bezahle","bezahlst","bezahlt","bezahlen","bezahlt","bezahlen","bezahlte","bezahltest","bezahlte","bezahlten","bezahltet","bezahlten","bezahlen"
"to remain","bleiben","bleibe","bleibst","bleibt","bleiben","bleibt","bleiben","blieb","bliebst","blieb","blieben","bliebt","blieben","bleiben"
"to need","brauchen","brauche","brauchst","braucht","brauchen","braucht","brauchen","brauchte","brauchtest","brauchte","brauchten","brauchtet","brauchten","brauchen"
"to last","dauern","dauere","dauerst","dauert","dauern","dauert","dauern","dauerte","dauertest","dauerte","dauerten","dauertet","dauerten","dauern"
"to drive","fahren","fahre","fährst","fährt","fahren","fahrt","fahren","fuhr","fuhrst","fuhr","fuhren","fuhrt","fuhren","fahren"
"to find","finden","finde","findest","findet","finden","findet","finden","fand","fandst","fand","fanden","fandet","fanden","finden"
